NUMERO;GENERO;TIPO_COLEGIO;LOCALIDAD_COLEGIO;CALENDARIO;MUNICIPIO;DEPARTAMENTO;PG_ICFES;CON_MAT_ICFES;APT_MAT_ICFES;FISICA_ICFES;QUIMICA_ICFES;APT_VERB_ICFES;LITERATURA_ICFES;BIOLOGIA_ICFES;SOCIALES_ICFES;FILOSOFIA_ICFES;IDIOMA_ICFES;LOCALIDAD;DISTANCIA;INSCRIPCION;ESTRATO;ANO_INGRESO;RENDIMIENTO_UNO
1811;0;0;0;0;0;0;362;82;0;0;0;0;65;69;73;0;74;10;3;9;3;2018;1
1812;0;0;0;0;0;0;355;72;0;0;0;0;73;66;68;0;86;8;3;9;3;2018;1
1813;0;0;0;0;0;0;334;65;0;0;0;0;68;69;65;0;67;10;3;5;2;2018;1
1814;1;0;0;0;0;0;375;71;0;0;0;0;78;76;77;0;70;8;3;9;2;2018;2
1815;0;0;0;0;0;0;353;70;0;0;0;0;71;73;70;0;65;20;6;9;4;2018;2
1816;0;0;0;0;0;0;350;71;0;0;0;0;78;71;63;0;60;5;6;9;2;2018;1
1817;1;0;0;0;0;0;329;63;0;0;0;0;67;70;64;0;63;20;6;4;2;2018;1
1818;0;0;0;0;0;0;329;67;0;0;0;0;62;67;65;0;73;8;3;4;2;2018;1
1819;0;0;0;0;0;0;353;81;0;0;0;0;65;71;66;0;70;20;6;9;3;2018;2
1820;0;0;0;0;0;0;358;82;0;0;0;0;69;70;63;0;80;17;2;9;2;2018;1
1821;0;0;0;0;0;0;348;75;0;0;0;0;70;70;69;0;52;14;2;9;3;2018;2
1822;0;0;0;0;0;0;359;70;0;0;0;0;69;71;75;0;79;8;3;9;2;2018;1
1823;0;0;0;0;0;0;346;81;0;0;0;0;63;68;67;0;63;20;6;9;1;2018;2
1824;1;0;0;0;0;0;361;73;0;0;0;0;74;67;73;0;77;13;1;9;4;2018;2
1825;0;0;0;0;0;0;354;74;0;0;0;0;71;73;69;0;59;10;3;9;3;2018;1
1826;0;0;0;0;0;0;368;79;0;0;0;0;83;67;66;0;71;10;3;9;3;2018;1
1827;0;0;0;0;0;0;349;77;0;0;0;0;68;68;68;0;65;4;4;9;2;2018;1
1828;0;0;0;0;0;0;355;79;0;0;0;0;67;66;69;0;79;10;3;9;2;2018;2
1829;0;0;0;0;0;0;291;58;0;0;0;0;60;61;56;0;52;20;6;5;1;2018;1
1830;1;0;0;0;0;0;358;72;0;0;0;0;75;69;71;0;71;4;4;9;2;2018;2
1831;1;0;0;0;0;0;313;67;0;0;0;0;58;66;60;0;62;11;5;6;2;2018;2
1832;0;0;0;0;0;0;349;74;0;0;0;0;68;71;70;0;59;20;6;9;3;2018;2
1833;1;0;0;0;0;0;354;78;0;0;0;0;61;71;74;0;69;10;3;9;3;2018;2
1834;1;0;0;0;0;0;286;62;0;0;0;0;57;56;55;0;53;11;5;6;3;2018;2
1835;1;0;0;0;0;0;356;72;0;0;0;0;69;74;74;0;59;18;3;9;3;2018;2
1836;0;0;0;0;0;0;380;76;0;0;0;0;80;72;75;0;80;8;3;9;2;2018;1
1837;0;0;0;0;0;0;352;79;0;0;0;0;70;68;67;0;64;4;4;9;2;2018;2
1838;1;0;0;0;0;0;358;76;0;0;0;0;66;68;75;0;75;20;6;9;3;2018;1
1839;0;0;0;0;0;0;345;64;0;0;0;0;70;70;68;0;81;8;3;4;1;2018;1
1840;0;0;0;0;0;0;338;71;0;0;0;0;66;65;65;0;77;8;3;4;2;2018;1
1841;1;0;0;0;0;0;344;75;0;0;0;0;70;70;61;0;67;18;3;9;3;2018;2
1842;0;0;0;0;0;0;366;74;0;0;0;0;72;71;77;0;69;20;6;9;2;2018;2
1843;0;0;0;0;0;0;360;79;0;0;0;0;75;69;63;0;77;10;3;9;2;2018;2
1844;1;0;0;0;0;0;353;70;0;0;0;0;66;72;76;0;67;9;4;9;3;2018;3
1845;1;0;0;0;0;0;349;76;0;0;0;0;72;66;69;0;59;4;4;9;2;2018;2
1846;0;0;0;0;0;0;350;74;0;0;0;0;68;70;68;0;70;11;5;9;2;2018;2
1847;1;0;0;0;0;0;337;69;0;0;0;0;66;70;65;0;66;19;5;6;1;2018;2
1848;0;0;0;0;0;0;354;76;0;0;0;0;74;67;69;0;62;20;6;9;2;2018;2
