Tipo de escenario,Corregimiento o comuna,VeredaBarrio,Nombre barrio o vereda,Nombre escenario deportivo,Dirección,Longitud,latitud,georeferenciacion
Placa Polideportiva,Corregimiento Norte o Néstor Esteban Sanint Arbeláez,Vereda,Río abajo,Placa polideportiva Rio abajo,Río abajo,6.66217579,75.75342153,POINT (6.66217579 75.75342153)
Gimnasio al aire libre,Corregimiento Norte o Néstor Esteban Sanint Arbeláez,Vereda,Los pinos,Gimnasio al aire libre los pinos,Los pinos,6.6619977,75.75352246,POINT (6.6619977 75.75352246)
Placa Polideportiva,Corregimiento Norte o Néstor Esteban Sanint Arbeláez,Vereda,Galicia alta,Placa polideportiva Galicia alta,Galicia alta,6.66192311,75.75359784,POINT (6.66192311 75.75359784)
Gimnasio al aire libre,Corregimiento Norte o Néstor Esteban Sanint Arbeláez,Vereda,Galicia alta,Gimnasio al aire libre Galicia alta,Galicia alta,6.66192311,75.75359784,POINT (6.66192311 75.75359784)
Gimnasio al aire libre,Corregimiento Norte o Néstor Esteban Sanint Arbeláez,Vereda,Galicia baja,Gimnasio al aire libre Galicia baja,Galicia baja,6.66185052,75.75366956,POINT (6.66185052 75.75366956)
Placa Polideportiva,Corregimiento Norte o Néstor Esteban Sanint Arbeláez,Vereda,Galicia baja,Placa polideportiva Galicia baja,Vereda Galicia baja,6.66185052,75.75366956,POINT (6.66185052 75.75366956)
Gimnasio al aire libre,Comuna 3 Monseñor Alfonso Uribe Jaramillo,Barrio,Altos de Villa María,Gimnasio al aire libre altos de Villa María,Cra. 39 #50-312 a 50-328,6.66156351,75.75364793,POINT (6.66156351 75.75364793)
Gimnasio al aire libre,Comuna 2 San Antonio,Barrio,San Antonio. Cementerio,Gimnasio al aire libre San Antonio. cementerio,Cra. 53 #24-2 a 24-24,6.66128745,75.75377561,POINT (6.66128745 75.75377561)
Cancha de fútbol sintética,Comuna 2 San Antonio,Barrio,San Antonio,Cancha sintética San Antonio,Cra. 53 #24-2 a 24-24,6.66128745,75.75377561,POINT (6.66128745 75.75377561)
Placa Polideportiva,Comuna 2 San Antonio,Barrio,Los libertadores,Placa polideportiva los libertadores,Cra. 55e #21-117 a 21-81,6.66130171,75.75381987,POINT (6.66130171 75.75381987)
Gimnasio al aire libre,Comuna 2 San Antonio,Barrio,Los libertadores,Gimnasio los libertadores,Cra. 55e #21-117 a 21-81,6.66130137,75.75382029,POINT (6.66130137 75.75382029)
Placa Polideportiva,Comuna 2 San Antonio,Barrio,Bosques de la Pereira,Placa polideportiva Bosques,Cl. 14b,6.66124661,75.7538247,POINT (6.66124661 75.7538247)
Placa Polideportiva,Comuna 2 San Antonio,Barrio,Bosques de la Pereira,Placa polideportiva Bosques de la Pereira,Cl. 14b,6.66124661,75.7538247,POINT (6.66124661 75.7538247)
Gimnasio al aire libre,Comuna 2 San Antonio,Barrio,Bosques de la pereira. San Antonio,Gimnasio al aire libre bosques de la pereira,Cl. 14b,6.66124545,75.75382173,POINT (6.66124545 75.75382173)
Placa Polideportiva,Comuna 2 San Antonio,Barrio,Remansos,Placa polideportiva remansos,Cra. 54 #18-117 a 18-65,6.66126386,75.75378796,POINT (6.66126386 75.75378796)
Parques infantiles,Comuna 2 San Antonio,Barrio,Remansos,Parque infantil Remansos,Cra. 54 #18-117 a 18-65,6.66126386,75.75378796,POINT (6.66126386 75.75378796)
Gimnasio al aire libre,Comuna 2 San Antonio,Barrio,Remansos,Gimanasio al aire libre remansos,Cra. 54 #18-117 a 18-65,6.66126386,75.75378796,POINT (6.66126386 75.75378796)
Placa Polideportiva,Corregimiento Sur o Gilberto Echeverri Mejía,Vereda,San joaquin,Placa polideportiva,Cl. 39 #51,6.66141244,75.75370393,POINT (6.66141244 75.75370393)
